FROM mtn ID#,TO mtn ID#,Travel distance [m],Travel duration [s]
1,2,661,64
1,3,68051,4380
1,4,2.45E+05,10314
1,5,52655,3230
1,6,2.95E+05,15171
1,7,1.98E+05,10750
1,8,1.39E+05,6827
1,9,1.02E+05,6390
1,10,87009,4961
1,11,1.22E+05,8004
1,12,96432,5741
1,13,1.27E+05,7163
1,14,2.30E+05,11754
1,15,4.01E+05,18615
1,16,1.11E+05,6554
1,17,48669,3514
1,18,73737,3934
1,19,79441,4347
1,20,1.87E+05,8663
1,21,4.36E+05,20383
1,22,1.16E+05,8324
1,23,3.71E+05,17925
1,24,1.38E+05,8740
1,25,1.80E+05,8420
1,26,1.18E+05,7919
1,27,4.78E+05,25218
1,28,3.23E+05,21574
1,29,3.12E+05,13461
1,30,2.50E+05,13055
1,31,1.37E+05,7333
1,32,3.11E+05,16170
1,33,3.00E+05,16313
1,34,2.64E+05,15693
1,35,73367,5958
1,36,56087,4691
2,3,68713,4449
2,4,2.46E+05,10382
2,5,53316,3298
2,6,2.96E+05,15239
2,7,1.99E+05,10818
2,8,1.39E+05,6896
2,9,1.03E+05,6459
2,10,87670,5029
2,11,1.23E+05,8072
2,12,97093,5809
2,13,1.27E+05,7232
2,14,2.31E+05,11823
2,15,4.01E+05,18684
2,16,1.11E+05,6623
2,17,49331,3582
2,18,74398,4003
2,19,80102,4416
2,20,1.87E+05,8731
2,21,4.37E+05,20452
2,22,1.17E+05,8392
2,23,3.71E+05,17994
2,24,1.39E+05,8809
2,25,1.81E+05,8488
2,26,1.19E+05,7988
2,27,4.79E+05,25287
2,28,3.24E+05,21643
2,29,3.13E+05,13529
2,30,2.50E+05,13123
2,31,1.38E+05,7402
2,32,3.12E+05,16238
2,33,3.00E+05,16382
2,34,2.65E+05,15761
2,35,74029,6027
2,36,56749,4759
3,4,1.98E+05,8703
3,5,62159,3658
3,6,2.49E+05,13560
3,7,1.52E+05,9139
3,8,92315,5217
3,9,1.47E+05,8087
3,10,40604,3281
3,11,1.31E+05,8432
3,12,96944,5164
3,13,1.40E+05,7200
3,14,2.75E+05,13451
3,15,3.54E+05,17004
3,16,64181,4943
3,17,44330,3404
3,18,27332,2254
3,19,27562,2350
3,20,1.40E+05,7052
3,21,3.90E+05,18772
3,22,1.26E+05,8752
3,23,3.24E+05,16314
3,24,1.48E+05,9168
3,25,1.34E+05,6809
3,26,1.28E+05,8347
3,27,4.32E+05,23607
3,28,2.77E+05,19963
3,29,2.65E+05,11850
3,30,2.03E+05,11444
3,31,90669,5722
3,32,2.65E+05,14559
3,33,2.53E+05,14702
3,34,2.18E+05,14082
3,35,1.18E+05,7588
3,36,51748,4581
4,5,2.39E+05,9536
4,6,2.33E+05,12807
4,7,1.32E+05,8380
4,8,2.55E+05,10262
4,9,3.24E+05,13965
4,10,1.92E+05,7885
4,11,3.08E+05,14310
4,12,2.60E+05,10209
4,13,3.03E+05,12245
4,14,4.81E+05,17725
4,15,4.30E+05,19087
4,16,1.63E+05,7603
4,17,2.21E+05,9282
4,18,1.96E+05,7617
4,19,2.04E+05,8239
4,20,1.06E+05,4883
4,21,4.26E+05,19488
4,22,3.02E+05,14630
4,23,4.00E+05,18397
4,24,3.24E+05,15047
4,25,2.97E+05,11854
4,26,3.05E+05,14226
